Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
inist.ipgp,Centre de données de l'Institut de Physique du Globe de Paris (inist.ipgp),0.20,0.29,0.17,0.10,0.16
tib.kit-ioc,chemotion (tib.kit-ioc),0.09,0.39,0.05,0.09,0.16
mtakik.mtatk,Kutatási Dokumentációs Központ (mtakik.mtatk),0.24,0.31,0.02,0.03,0.16
ardcx.deakin,Deakin University (ardcx.deakin),0.26,0.28,0.11,0.10,0.16
spbpu.mpm,Materials Physics and Mechanics (spbpu.mpm),0.49,0.16,0.00,0.00,0.16
adelaide.repo,Adelaide University (adelaide.repo),0.26,0.21,0.09,0.08,0.16
cngb.gigadb,GigaDB (cngb.gigadb),0.13,0.31,0.13,0.00,0.16
nies.nies,Repository for National Institute for Environment Studies (nies.nies),0.15,0.40,0.00,0.08,0.16
crui.liuc,Università Carlo Cattaneo - LIUC (crui.liuc),0.18,0.39,0.11,0.01,0.16
tib.zalf,Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e. V. (tib.zalf),0.32,0.24,0.08,0.06,0.15
gesis.viadrina,Europa-Universität Viadrina (gesis.viadrina),0.20,0.18,0.17,0.10,0.15
tib.eugraph,Eurographics (tib.eugraph),0.21,0.26,0.09,0.10,0.15
ardcx.federation,Federation University Australia (ardcx.federation),0.13,0.28,0.09,0.10,0.15
dk.aau,Aalborg University Library (dk.aau),0.16,0.24,0.17,0.15,0.15
dkrz.wdcc,World Data Center for Climate (dkrz.wdcc),0.14,0.22,0.10,0.35,0.15
ghsl.galter,"Galter Health Sciences Library, Northwestern University (ghsl.galter)",0.21,0.20,0.15,0.09,0.15
bmlm.bgc,Max Planck Institute for Biogeochemistry (bmlm.bgc),0.07,0.41,0.08,0.07,0.14
uky.lib,UKnowledge (uky.lib),0.21,0.35,0.11,0.03,0.14
memo.journal,MEMO - Medieval and Early Modern Material Culture Online (memo.journal),0.13,0.27,0.06,0.10,0.14
cern.cds,CERN Document Server (cern.cds),0.11,0.30,0.05,0.09,0.14
datacite.blog,DataCite Blog (datacite.blog),0.16,0.37,0.11,0.10,0.14
crui.unibo,Università degli Studi di Bologna (crui.unibo),0.22,0.11,0.14,0.19,0.14
bl.repo,British Library Research Repository (bl.repo),0.17,0.25,0.07,0.10,0.14
subgoe.zzf,Leibniz-Zentrum für Zeithistorische Forschung Potsdam e.V. (subgoe.zzf),0.26,0.11,0.15,0.10,0.14
gesis.wzb,Wissenschaftszentrum Berlin für Sozialforschung (gesis.wzb),0.31,0.17,0.05,0.00,0.14
wyoming.rep1,WyoScholar (wyoming.rep1),0.25,0.06,0.20,0.08,0.14
tind.uchicago,University of Chicago (tind.uchicago),0.26,0.10,0.16,0.00,0.14
tib.radar,RADAR (tib.radar),0.17,0.21,0.08,0.22,0.14
oclc.mrd,"Membership and Research Division, OCLC, Inc. (oclc.mrd)",0.07,0.41,0.00,0.00,0.14
delft.vliz,Vlaams Instituut voor de Zee (delft.vliz),0.28,0.14,0.08,0.10,0.14
bl.rothres,Rothamsted Research (bl.rothres),0.23,0.25,0.16,0.06,0.14
iu.pui,IU Indianapolis University Library (iu.pui),0.11,0.41,0.07,0.05,0.14
und.library,University of Notre Dame (und.library),0.24,0.13,0.11,0.10,0.14
dot.dot,ROSA P (dot.dot),0.06,0.28,0.07,0.32,0.14
zbw.ios,Leibniz-Institut für Ost- und Südosteuropaforschung (IOS) (zbw.ios),0.12,0.31,0.13,0.10,0.14
tib.hsd,Hochschule Düsseldorf (tib.hsd),0.23,0.12,0.15,0.09,0.14
crui.unical,Università della Calabria (crui.unical),0.13,0.38,0.01,0.00,0.14
bl.mba,Marine Biological Association (bl.mba),0.19,0.20,0.16,0.12,0.14
tib.ubunibwm,Universität der Bundeswehr München (tib.ubunibwm),0.24,0.38,0.22,0.10,0.14
figshare.sussex,University of Sussex (figshare.sussex),0.18,0.28,0.05,0.00,0.14
cdl.ucd,UC Davis (cdl.ucd),0.40,0.06,0.07,0.00,0.13
spbpu.d-media,University online library (spbpu.d-media),0.40,0.07,0.06,0.00,0.13
ist.rex,ISTA Research Explorer (ist.rex),0.11,0.27,0.13,0.08,0.13
gdcc.odum-library,UNC Libraries (gdcc.odum-library),0.15,0.23,0.06,0.10,0.13
jcu.repo,James Cook University (jcu.repo),0.09,0.36,0.01,0.04,0.13
bl.open,The Open University (bl.open),0.22,0.19,0.08,0.04,0.13
bl.rhul,"Royal Holloway, University of London (bl.rhul)",0.20,0.28,0.04,0.00,0.13
au.ir,American University Research Archive (au.ir),0.23,0.16,0.11,0.10,0.13
dzhw.fdz-dzhw,Research Data Center for Higher Education Research and Science Studies (FDZ-DZHW) (dzhw.fdz-dzhw),0.15,0.35,0.08,0.22,0.13
gfz.iass,RIFSpublic (gfz.iass),0.13,0.34,0.07,0.02,0.13
csiro.repo,CSIRO (csiro.repo),0.15,0.18,0.10,0.09,0.13
wzbde.ratswd,Rat für Sozial- und WirtschaftsDaten (wzbde.ratswd),0.07,0.30,0.06,0.10,0.13
tib.bafg,Bundesanstalt für Gewässerkunde (tib.bafg),0.14,0.29,0.11,0.01,0.13
inist.cirad,Centre de coopération internationale en recherche agronomique pour le développement (inist.cirad),0.14,0.17,0.16,0.09,0.13
dk.sa,The Danish National Archives (dk.sa),0.20,0.16,0.12,0.00,0.13
wustl.lib,Washington University in St. Louis Libraries (wustl.lib),0.18,0.31,0.02,0.01,0.13
bl.marinesc,Marine Scotland (bl.marinesc),0.04,0.34,0.03,0.10,0.13
zbmed.publisso,PUBLISSO (zbmed.publisso),0.21,0.15,0.08,0.08,0.13
zbw.iree,Journal of Comments and Replications in Economics (JCRE) (zbw.iree),0.26,0.17,0.07,0.10,0.13
umass.umw,University of Massachusetts (UMass) Chan Medical School (umass.umw),0.14,0.32,0.00,0.00,0.13
zbmed.zfmk,Zoologisches Forschungsmuseum Alexander Koenig - Leibniz-Institut für Biodiversität der Tiere (zbmed.zfmk),0.18,0.46,0.13,0.24,0.13
