Repository,Repository Name,Text,identifiers,Connections,Contacts,Total
monash.repo,Monash University (monash.repo),0.13,0.13,0.00,0.00,0.07
bl.uel,UEL Research Repository (bl.uel),0.15,0.09,0.05,0.10,0.07
lzi.drops,Dagstuhl Research Online Publication Server (lzi.drops),0.13,0.14,0.01,0.00,0.07
bl.ljmu,Liverpool John Moores University (bl.ljmu),0.07,0.09,0.07,0.10,0.07
wwpx.bsb,Bayerische Staatsbibliothek (wwpx.bsb),0.09,0.15,0.09,0.03,0.07
illinois.databank,Illinois Data Bank (illinois.databank),0.06,0.14,0.02,0.11,0.07
inist.ifremer,Institut Français de Recherche pour l'Exploitation de la Mer (inist.ifremer),0.14,0.10,0.06,0.04,0.07
ethz.wsl,EnviDat (ethz.wsl),0.08,0.14,0.03,0.20,0.07
tib.desy,DESY - Deutsches Elektronen-Synchrotron (tib.desy),0.06,0.09,0.05,0.08,0.07
rwth.publications,RWTH Publications (rwth.publications),0.08,0.07,0.06,0.08,0.07
ucar.ucar,UCAR/NCAR (ucar.ucar),0.11,0.15,0.08,0.06,0.07
bl.mendeley,Mendeley Data (bl.mendeley),0.11,0.14,0.03,0.01,0.07
csic.gbif,Infraestructura Mundial de Información en Biodiversidad (csic.gbif),0.08,0.07,0.05,0.13,0.07
gesis.icpsr,ICPSR (gesis.icpsr),0.19,0.08,0.07,0.00,0.07
subgoe.caro,Collegium Carolinum (subgoe.caro),0.06,0.09,0.07,0.07,0.07
tib.bsz,Bibliotheksservice-Zentrum Baden-Wuerttemberg (BSZ) (tib.bsz),0.08,0.17,0.02,0.02,0.07
mtakik.omsz,Országos Meteorológiai Szolgálat (mtakik.omsz),0.07,0.17,0.00,0.00,0.07
uman.ceos,UMANCEOS (uman.ceos),0.07,0.18,0.02,0.00,0.07
tib.hu-edoc,"HU Berlin - edoc-Server, Institutional Repository Humboldt-Universität zu Berlin (tib.hu-edoc)",0.05,0.10,0.05,0.08,0.07
ethz.iumsppub,Unisanté : Publications (ethz.iumsppub),0.05,0.21,0.17,0.00,0.07
nzau.data,University of Auckland Data Repository (nzau.data),0.08,0.16,0.01,0.00,0.07
bl.lshtm,London School of Hygiene & Tropical Medicine (bl.lshtm),0.10,0.10,0.06,0.10,0.07
psu.datacom,Data Commons (psu.datacom),0.11,0.13,0.00,0.00,0.07
bl.glasgow,University of Glasgow (bl.glasgow),0.05,0.10,0.05,0.09,0.07
gesis.bibb-fdz,Research Data Centre of the Federal Institute for Vocational Education and Training (BIBB-FDZ) (gesis.bibb-fdz),0.08,0.13,0.08,0.00,0.07
bl.bath,University of Bath (bl.bath),0.07,0.06,0.08,0.07,0.06
viu.bayqne,VIUspace (viu.bayqne),0.10,0.07,0.15,0.01,0.06
estdoi.keel,Keeleressursid. The Center of Estonian Language Resources (estdoi.keel),0.07,0.18,0.02,0.00,0.06
bl.portsmth,University of Portsmouth (bl.portsmth),0.08,0.06,0.06,0.12,0.06
tib.bonares,BonaRes  Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e.V. Datenzentrum Agrarlandschaft (tib.bonares),0.12,0.13,0.13,0.04,0.06
tib.ubtum,"Technische Universität München, Universitätsbibliothek (tib.ubtum)",0.08,0.18,0.04,0.00,0.06
crui.unina,Università degli Studi di Napoli Federico II (crui.unina),0.12,0.07,0.04,0.05,0.06
tib.ubmr,Universitätsbibliothek Marburg (tib.ubmr),0.05,0.09,0.11,0.10,0.06
mtakik.se,Semmelweis Egyetem (mtakik.se),0.02,0.19,0.06,0.00,0.06
delft.knmi,KNMI Data Platform (delft.knmi),0.33,0.30,0.15,0.10,0.06
bl.salford,University of Salford (bl.salford),0.06,0.14,0.04,0.00,0.06
crui.infncnaf,Istituto Nazionale di Fisica Nucleare. Centro Nazionale Analisi Fotogrammi (crui.infncnaf),0.13,0.11,0.03,0.04,0.06
zbmed.hits,"HITS gGmbH, Heidelberger Institut für Theoretische Studien (zbmed.hits)",0.09,0.14,0.00,0.00,0.06
cwyh.hildok,HilDoK Publikationsserver der Universitätsbibliothek Hildesheim (cwyh.hildok),0.02,0.18,0.05,0.08,0.06
crui.unipi,Università degli Studi di Pisa (crui.unipi),0.05,0.17,0.06,0.01,0.06
tib.tub,Technische Universität Berlin – Universitätsbibliothek (tib.tub),0.12,0.05,0.09,0.01,0.06
ardcx.tern,TERN Central Portal (ardcx.tern),0.13,0.05,0.06,0.02,0.06
msu.core,Knowledge Commons Works (msu.core),0.07,0.14,0.03,0.06,0.06
caltech.library,Caltech Library (caltech.library),0.07,0.08,0.09,0.02,0.06
tzwl.doris,Swedish Polar Research Secretariat / DORIS repository (tzwl.doris),0.07,0.17,0.06,0.00,0.06
ethz.phsg,PHIQ - das Repository der Pädagogischen Hochschule St.Gallen (ethz.phsg),0.05,0.11,0.06,0.00,0.06
doe.ornl,DOE Oak Ridge National Laboratory (ORNL) Repository (doe.ornl),0.10,0.13,0.03,0.00,0.06
tib.tuhh,TUHH Open Research (tib.tuhh),0.10,0.07,0.03,0.06,0.06
estdoi.emu,Eesti Maaülikool. EMU Dspace (estdoi.emu),0.01,0.17,0.05,0.01,0.06
csc.csceudat,CDI B2Share (csc.csceudat),0.10,0.15,0.08,0.10,0.06
bl.durham,Durham University Research Data Repository (bl.durham),0.12,0.09,0.05,0.04,0.06
tib.hbrs,pub H-BRS - Publikationsserver der Hochschule Bonn-Rhein-Sieg (tib.hbrs),0.10,0.11,0.00,0.00,0.06
inist.health,Health & Co (inist.health),0.09,0.12,0.00,0.00,0.06
cdl.ucsb,UC Santa Barbara (cdl.ucsb),0.13,0.09,0.04,0.03,0.06
cmu.kilthub,KiltHub Repository (cmu.kilthub),0.06,0.15,0.01,0.00,0.06
inist.cdsp,Centre de données socio-politiques (inist.cdsp),0.08,0.12,0.03,0.02,0.06
umd.lib,University of Maryland Libraries Repositories (umd.lib),0.08,0.08,0.10,0.04,0.06
zbmed.mfn,Museum für Naturkunde Berlin - Leibniz-Institut für Evolutions- und Biodiversitätsforschung (zbmed.mfn),0.09,0.14,0.07,0.10,0.06
dk.ucn,UCN OJS (dk.ucn),0.09,0.07,0.07,0.06,0.06
tib.jki,Julius Kühn-Institut (tib.jki),0.13,0.04,0.07,0.05,0.06
unsw.repo,University of New South Wales (unsw.repo),0.11,0.09,0.06,0.00,0.06
wisc.neotoma,Neotoma Paleoecological Database (wisc.neotoma),0.04,0.17,0.02,0.00,0.06
vcu.vculibraries,VCULIBRARIES (vcu.vculibraries),0.18,0.12,0.06,0.08,0.06
crui.unibg,Università degli Studi di Bergamo (crui.unibg),0.08,0.07,0.06,0.00,0.06
crui.unito,Università degli Studi di Torino (crui.unito),0.08,0.09,0.06,0.05,0.06
noaa.gmd,Global Monitoring Laboratory (noaa.gmd),0.15,0.22,0.06,0.00,0.06
icahris.icahris,Peter Humphries (icahris.icahris),0.04,0.15,0.00,0.00,0.06
bl.imperial,Imperial College Research Computing Service Data Repository (bl.imperial),0.05,0.12,0.08,0.06,0.06
unavco.unavco,NSF Geodetic Facility for the Advancement of Geoscience (GAGE) (unavco.unavco),0.12,0.18,0.02,0.04,0.05
estdoi.bio,Plutof.  Data Management and Publishing Platform (estdoi.bio),0.11,0.02,0.06,0.09,0.05
esnz.library,ESNZ Library Repository (esnz.library),0.07,0.16,0.00,0.00,0.05
tib.wias,Weierstraß-Institut für Angewandte Analysis und Stochastik (tib.wias),0.06,0.13,0.03,0.07,0.05
inist.otelo,Observatoire Terre Environnement de Lorraine (inist.otelo),0.06,0.14,0.00,0.00,0.05
cgl.cglab,"Computational Geometry Lab, Carleton University (cgl.cglab)",0.08,0.08,0.05,0.09,0.05
ethz.epfl,EPFL Infoscience (ethz.epfl),0.10,0.05,0.03,0.04,0.05
vzek.hsr,Historical Social Research (HSR) (vzek.hsr),0.08,0.12,0.11,0.00,0.05
inist.atief,Association des Technologies et l'Information pour l'Education et la Formation (inist.atief),0.06,0.11,0.06,0.00,0.05
tib.eumetsat,EUMETSAT (tib.eumetsat),0.06,0.06,0.19,0.00,0.05
tib.mediarep,MEDIAREP (tib.mediarep),0.10,0.09,0.12,0.10,0.05
zbmed.ble,Bundesanstalt für Landwirtschaft und Ernährung (zbmed.ble),0.04,0.06,0.11,0.10,0.05
dxdt.vuxyfx,Technische Hochschule Wildau (dxdt.vuxyfx),0.09,0.20,0.05,0.00,0.05
bl.uclan,University of Lancashire (bl.uclan),0.08,0.08,0.05,0.09,0.05
bl.strath,University of Strathclyde (bl.strath),0.14,0.11,0.01,0.09,0.05
cornell.ciser,CISER Data & Reproduction Archive (cornell.ciser),0.09,0.11,0.04,0.01,0.05
inist.unilu,University of Luxembourg (inist.unilu),0.13,0.07,0.09,0.09,0.05
subgoe.fid-geo,FID-GEO SUB (subgoe.fid-geo),0.15,0.05,0.06,0.00,0.05
gbif.co,SiB Colombia - GBIF Colombia (gbif.co),0.04,0.06,0.01,0.14,0.05
nuig.aran,University of Galway Research Repository (nuig.aran),0.06,0.08,0.05,0.10,0.05
crui.unipv,Università degli Studi di Pavia (crui.unipv),0.10,0.03,0.02,0.10,0.05
tib.lj-red,Logistics Journal (tib.lj-red),0.01,0.11,0.06,0.00,0.05
univie.univie,University of Vienna (univie.univie),0.05,0.04,0.14,0.09,0.05
smf.repo,Australian Policy Online (smf.repo),0.11,0.16,0.01,0.00,0.05
caltech.micropub,microPublication (caltech.micropub),0.07,0.11,0.00,0.00,0.05
tib.ubtdois,Universitätsbibliothek Tübingen (tib.ubtdois),0.07,0.14,0.01,0.01,0.05
nist.admin,National Institute of Standards and Technology (NIST) (nist.admin),0.12,0.10,0.10,0.10,0.05
delft.tudelft,TU Delft Research Repository (delft.tudelft),0.02,0.17,0.00,0.00,0.05
cern.opendata,CERN Open Data (cern.opendata),0.07,0.06,0.06,0.00,0.05
cern.prise,Progress in Science Education (Journal) (cern.prise),0.07,0.05,0.10,0.07,0.05
cmcc.center,Fondazione CMCC - Centro Euro-Mediterraneo sui Cambiamenti Climatici (cmcc.center),0.18,0.07,0.04,0.00,0.05
mtakik.lfze,Liszt Ferenc Zeneművészeti Egyetem (mtakik.lfze),0.00,0.17,0.00,0.00,0.05
ardcx.une,University of New England (ardcx.une),0.17,0.11,0.08,0.05,0.05
bl.mmu,Manchester Metropolitan University (bl.mmu),0.11,0.10,0.05,0.10,0.05
tib.ubbs,LeoPARD - TU Braunschweig Publications And Research Data (tib.ubbs),0.07,0.11,0.00,0.09,0.05
spbpu.iprbooks,IPR MEDIA (spbpu.iprbooks),0.07,0.05,0.06,0.00,0.05
tib.beilst,Beilstein-Institut zur Förderung der Chemischen Wissenschaften (tib.beilst),0.00,0.11,0.00,0.10,0.05
crui.eta,ETA Florence (crui.eta),0.00,0.16,0.00,0.00,0.05
mtakik.me,Miskolci Egyetem (mtakik.me),0.04,0.07,0.06,0.00,0.05
bl.lboro,Loughborough University Research Repository (bl.lboro),0.05,0.14,0.02,0.00,0.05
tib.mfo,Mathematisches Forschungsinstitut Oberwolfach (tib.mfo),0.07,0.06,0.05,0.01,0.05
figshare.uct,University of Cape Town (UCT) (figshare.uct),0.07,0.13,0.01,0.00,0.05
figshare.ars,figshare Academic Research System (figshare.ars),0.05,0.15,0.05,0.00,0.05
nrc.ir,NRC Digital Repository (nrc.ir),0.10,0.17,0.10,0.08,0.05
lmu.ub,Universitätsbibliothek der LMU (lmu.ub),0.16,0.10,0.10,0.07,0.05
bl.aston,Aston Data Explorer (bl.aston),0.11,0.12,0.04,0.10,0.05
uott.library,University of Ottawa - Library (uott.library),0.08,0.06,0.04,0.06,0.05
psu.lib,The Pennsylvania State University Libraries (psu.lib),0.09,0.08,0.03,0.04,0.05
nsidc.datactr,National Snow and Ice Data Center (nsidc.datactr),0.04,0.14,0.00,0.00,0.05
ethz.lives,LIVES Working Paper Series (ethz.lives),0.03,0.16,0.06,0.00,0.05
tdl.tacc,DesignSafe (tdl.tacc),0.13,0.05,0.06,0.05,0.05
qefw.iqs,"Federal Institute for Education Research, Austria (qefw.iqs)",0.10,0.15,0.04,0.00,0.05
figshare.ctsnet,CTSNet | The Cardiothoracic Surgery Network (figshare.ctsnet),0.04,0.12,0.00,0.00,0.05
cos.osf,Open Science Framework (cos.osf),0.11,0.03,0.03,0.05,0.05
europ.odin,ODIN: Online Data & Information Network for Energy (europ.odin),0.00,0.11,0.06,0.00,0.05
zbw.zbw-jda,ZBW Journal Data Archive (zbw.zbw-jda),0.11,0.07,0.03,0.00,0.05
figshare.orcid,Figshare ORCID (figshare.orcid),0.08,0.06,0.03,0.00,0.05
ethz.e-coll,ETH Zürich Research Collection (ethz.e-coll),0.06,0.05,0.06,0.08,0.05
tib.ub-hro,RosDok (tib.ub-hro),0.10,0.08,0.00,0.00,0.05
gesis.ubjcs,Universitätsbibliothek JCS Frankfurt (gesis.ubjcs),0.15,0.06,0.03,0.10,0.04
zbmed.pf,Universitätsbibliothek Regensburg (zbmed.pf),0.13,0.10,0.05,0.04,0.04
zbmed.anet,ANeT (Network for the study of Asian Ants) (zbmed.anet),0.12,0.07,0.04,0.00,0.04
csic.digital,Digital CSIC (csic.digital),0.09,0.07,0.05,0.06,0.04
ucalg.library,University of Calgary (ucalg.library),0.15,0.05,0.09,0.02,0.04
ethz.social,Social Change in Switzerland (ethz.social),0.04,0.12,0.06,0.00,0.04
mit.physio,PhysioNet (mit.physio),0.07,0.12,0.02,0.00,0.04
bl.lpool,University of Liverpool (bl.lpool),0.06,0.10,0.04,0.06,0.04
landcare.general,Landcare Research Data Repository (landcare.general),0.02,0.14,0.00,0.00,0.04
edi.edi,Environmental Data Initiative (edi.edi),0.06,0.13,0.01,0.00,0.04
xaqp.jamqzm,EarthChem Library (xaqp.jamqzm),0.02,0.14,0.02,0.00,0.04
gesis.hsrc,Human Science Research Council SA (gesis.hsrc),0.17,0.00,0.00,0.00,0.04
purdue.re3data,Registry of Research Repositories (purdue.re3data),0.15,0.00,0.02,0.00,0.04
laam.ptb-oar,PTB-OAR (laam.ptb-oar),0.13,0.09,0.06,0.04,0.04
dxwl.rdiw,Research Data Center for Business and Organizational Data (RDC-BO) (dxwl.rdiw),0.17,0.00,0.04,0.05,0.04
bl.surrey,University of Surrey Open Research repository (bl.surrey),0.12,0.06,0.07,0.09,0.04
gesis.bzga,Federal Centre for Health Education (gesis.bzga),0.11,0.08,0.03,0.00,0.04
cul.columbia,Columbia University Libraries (cul.columbia),0.15,0.01,0.00,0.00,0.04
tib.ukon,Movebank (tib.ukon),0.05,0.04,0.09,0.06,0.04
ubc.oc,Open Collections (ubc.oc),0.04,0.08,0.03,0.01,0.04
nrct.db1,NRCT Data Center (nrct.db1),0.05,0.11,0.00,0.00,0.04
zbmed.bfr,Bundesinstitut für Risikobewertung Fachgruppe ZEBET - Datenbank und Informationsbeschaffung Abteilung Experimentelle Toxikologie und ZEBET (zbmed.bfr),0.06,0.10,0.09,0.07,0.04
umass.candi,University of Massachusetts (UMass) CANDI (umass.candi),0.07,0.08,0.00,0.00,0.04
crui.sie-l,Società Italiana di e-Learning (crui.sie-l),0.02,0.06,0.09,0.10,0.04
bl.reading,University of Reading (bl.reading),0.05,0.06,0.05,0.01,0.04
zbmed.ktbl,Kuratorium für Technik und Bauwesen in der Landwirtschaft e. V. (KTBL) (zbmed.ktbl),0.07,0.06,0.09,0.06,0.04
nasapds.nasapds,PDS (nasapds.nasapds),0.10,0.06,0.03,0.05,0.04
tib.hu-genop,HU Berlin - Gender Open Repositorium (tib.hu-genop),0.08,0.08,0.07,0.08,0.04
zbmed.vlsp,"Verband für lesbische, schwule, bisexuelle, trans*, intersexuelle und queere Menschen in der Psychologie (VLSP) (zbmed.vlsp)",0.16,0.06,0.06,0.00,0.04
euvi.seanoe,SEANOE (euvi.seanoe),0.04,0.06,0.04,0.00,0.04
tib.fhbac,"FH Aachen, Hochschulbibliothek (tib.fhbac)",0.12,0.07,0.02,0.00,0.04
cern.zenodo,Zenodo (cern.zenodo),0.04,0.16,0.04,0.00,0.04
tib.sulbdoi,Universität des Saarlandes (tib.sulbdoi),0.09,0.04,0.03,0.05,0.04
zbmed.ellinet,Fachrepositorium Lebenswissenschaften (zbmed.ellinet),0.08,0.07,0.00,0.00,0.04
gesis.iai,Zeitschriften des Ibero-Amerikanischen Instituts (gesis.iai),0.09,0.09,0.06,0.08,0.04
estdoi.ojs,Ajakirjad. Journals by UT (estdoi.ojs),0.04,0.08,0.04,0.02,0.04
ardcx.qut1,Queensland University of Technology (ardcx.qut1),0.06,0.06,0.01,0.01,0.04
bl.ecmwf,European Centre for Medium-Range Weather Forecasts (bl.ecmwf),0.02,0.12,0.00,0.00,0.04
mtakik.nyme,Nyugat-magyarországi Egyetem (mtakik.nyme),0.04,0.04,0.06,0.00,0.04
crui.uniupo,Università del Piemonte orientale “Amedeo Avogadro” (crui.uniupo),0.09,0.07,0.06,0.00,0.04
crui.uniroma1,Università degli studi di Roma La Sapienza (crui.uniroma1),0.08,0.05,0.08,0.08,0.04
tib.hu,HU Berlin - NOMAD Repository (tib.hu),0.09,0.06,0.00,0.00,0.04
bl.kent,University of Kent (bl.kent),0.05,0.12,0.06,0.09,0.04
crui.uniba,Università degli Studi di Bari (crui.uniba),0.09,0.06,0.07,0.10,0.04
inist.inra,Data INRAE (inist.inra),0.10,0.08,0.08,0.10,0.04
delft.uu,Utrecht University - Yoda (delft.uu),0.06,0.11,0.03,0.06,0.04
crui.unige,Università degli Studi di Genova (crui.unige),0.05,0.03,0.05,0.08,0.04
hakai.dfukgl,Hakai Institute (hakai.dfukgl),0.13,0.10,0.05,0.03,0.04
crui.univr,Università degli Studi di Verona (crui.univr),0.06,0.05,0.09,0.05,0.03
crui.unife,Università degli Studi di Ferrara (crui.unife),0.14,0.08,0.07,0.08,0.03
gdcc.harvard-sbgr,Harvard  SBGrid (gdcc.harvard-sbgr),0.00,0.00,0.11,0.00,0.03
bl.notts,University of Nottingham (bl.notts),0.06,0.06,0.06,0.09,0.03
brown.bdr,Brown Digital Repository (brown.bdr),0.00,0.11,0.00,0.00,0.03
inist.iif,Institut International du Froid (inist.iif),0.13,0.00,0.00,0.00,0.03
ardcx.griffith,Griffith University Research Data Repository (ardcx.griffith),0.17,0.11,0.09,0.00,0.03
mtakik.alknyelv,Alkalmazott Nyelvtudomány (mtakik.alknyelv),0.00,0.11,0.00,0.00,0.03
tib.hawk,HAWK Hildesheim - Hornemann Institut (tib.hawk),0.09,0.04,0.03,0.00,0.03
uva.minorlab,MinorLab (uva.minorlab),0.00,0.11,0.00,0.00,0.03
cern.jacow,JACOW (cern.jacow),0.16,0.03,0.00,0.00,0.03
tib.luis,Forschungsdaten-Repositorium der LUH (tib.luis),0.11,0.00,0.07,0.10,0.03
zbmed.gms,German Medical Science (zbmed.gms),0.00,0.11,0.00,0.00,0.03
bl.dri,Digital Repository of Ireland (bl.dri),0.07,0.05,0.00,0.00,0.03
wisc.ecosis,Ecosystem Spectral Information System (wisc.ecosis),0.01,0.11,0.00,0.00,0.03
tib.kit,KITopen (tib.kit),0.07,0.03,0.04,0.04,0.03
bl.ukda,UK Data Archive (bl.ukda),0.05,0.03,0.06,0.00,0.03
bl.cam,Apollo (bl.cam),0.05,0.10,0.06,0.04,0.03
tib.hsurep,OpenHSU (tib.hsurep),0.08,0.05,0.00,0.00,0.03
gesis.jll,International Journal of Language and Law (JLL) (gesis.jll),0.14,0.04,0.09,0.00,0.03
fao.itpgrfa,International Treaty on Plant Genetic Resources for Food and Agriculture (fao.itpgrfa),0.12,0.00,0.00,0.00,0.03
crui.unime,Università degli Studi di Messina (crui.unime),0.07,0.05,0.04,0.09,0.03
nihnimhh.dar,"National Institutes of Health, National Institute of Mental Health (NIMH) Data Archive Repository (nihnimhh.dar)",0.13,0.11,0.02,0.00,0.03
crui.unitn,Università degli Studi di Trento (crui.unitn),0.03,0.05,0.06,0.07,0.03
crui.units,Università degli Studi di Trieste (crui.units),0.05,0.10,0.08,0.05,0.03
gesis.gesis,GESIS Data Archive (gesis.gesis),0.08,0.04,0.02,0.00,0.03
delft.rivm,RIVM - Rijksinstituut voor Volksgezondheid en Milieu (delft.rivm),0.02,0.09,0.00,0.01,0.03
figshare.asha,figshare ASHA Publications (figshare.asha),0.02,0.09,0.00,0.00,0.03
ethz.infoclio,Infoclio (ethz.infoclio),0.05,0.06,0.06,0.00,0.03
ocean.ocean,Code Ocean (ocean.ocean),0.01,0.04,0.07,0.00,0.03
purdue.hubzero,HubZero (purdue.hubzero),0.06,0.00,0.05,0.00,0.03
gesis.neps,LIfBi Leibniz Institute for Educational Trajectories (gesis.neps),0.06,0.06,0.07,0.06,0.03
xfel.eu,European XFEL (xfel.eu),0.03,0.07,0.00,0.00,0.03
ethz.smif,Survey Methods: Insights from the Field (ethz.smif),0.01,0.10,0.06,0.00,0.03
cybele.scmzov,Cybelepress (cybele.scmzov),0.01,0.09,0.00,0.00,0.03
subgoe.dariah,Digital Research Infrastructure for the Arts and Humanities (subgoe.dariah),0.13,0.03,0.02,0.01,0.03
psu.scholar,ScholarSphere (psu.scholar),0.09,0.05,0.02,0.00,0.03
pdsc.repo,PARADISEC (pdsc.repo),0.00,0.06,0.05,0.00,0.03
tib.ipk,e!DAL-PGP (tib.ipk),0.07,0.06,0.01,0.00,0.03
tib.kmo,TIB KMO / FLOWWORKS GmbH (tib.kmo),0.07,0.03,0.00,0.00,0.03
ethz.zhaw,ZHAW Digital Collection (ethz.zhaw),0.00,0.00,0.06,0.06,0.03
bl.hwu,Heriot-Watt University (bl.hwu),0.07,0.28,0.16,0.10,0.03
bibsys.uninett,"UNINETT Sigma AS, Norway (bibsys.uninett)",0.06,0.03,0.02,0.00,0.03
zbmed.bfs,Bundesamt für Strahlenschutz (zbmed.bfs),0.13,0.07,0.02,0.00,0.03
figshare.epa,U.S. Environmental Protection Agency (figshare.epa),0.06,0.05,0.01,0.00,0.03
umn.ipums,Institute for Social Research and Data Innovation (umn.ipums),0.09,0.04,0.04,0.00,0.03
tib.luhrepo,Leibniz Universität Hannover (tib.luhrepo),0.01,0.06,0.01,0.07,0.03
tib.tib,TIB Hannover (tib.tib),0.00,0.05,0.01,0.09,0.03
ucar.eol,Earth Observing Laboratory (ucar.eol),0.05,0.03,0.04,0.04,0.02
tib.tudo,Technische Universität Dortmund (tib.tudo),0.04,0.06,0.05,0.03,0.02
epa.epa,Environmental Protection Agency (EPA) Repository (epa.epa),0.07,0.04,0.05,0.00,0.02
nihnci.tcia,The Cancer Imaging Archive (nihnci.tcia),0.01,0.14,0.06,0.01,0.02
bibsys.nmdc,Norwegian Marine Data Centre (bibsys.nmdc),0.00,0.06,0.04,0.03,0.02
gesis.ubhd,University Library Heidelberg (gesis.ubhd),0.02,0.06,0.02,0.04,0.02
tib.ubfr,FreiDok plus (tib.ubfr),0.11,0.04,0.00,0.00,0.02
rice.kinder,Kinder Institute Urban Data Platform (rice.kinder),0.06,0.06,0.02,0.05,0.02
nipr.nipr,Repository for National Institute of Polar Research (nipr.nipr),0.07,0.06,0.01,0.05,0.02
rdg.prod,Recherche Data Gouv France (rdg.prod),0.05,0.09,0.02,0.02,0.02
zbmed.wwuimi,"Universität Heidelberg, Institut für Medizinische Informatik (zbmed.wwuimi)",0.04,0.04,0.00,0.00,0.02
zbmed.ifado,Leibniz-Institut für Arbeitsforschung an der TU Dortmund (IfADo) (zbmed.ifado),0.03,0.03,0.03,0.00,0.02
labarc.pro,LabArchives Production (labarc.pro),0.01,0.07,0.00,0.00,0.02
doe.osti,DOE Office of Scientific and Technical Information (OSTI) Repository (doe.osti),0.04,0.06,0.04,0.00,0.02
crui.unisa,Università degli Studi di Salerno (crui.unisa),0.06,0.01,0.07,0.00,0.02
ethz.zora,"Universität Zürich, ZORA (ethz.zora)",0.02,0.06,0.00,0.00,0.02
nus.sb,National University of Singapore (nus.sb),0.07,0.06,0.03,0.02,0.02
tib.gidoi,Gesellschaft für Informatik (GI) (tib.gidoi),0.02,0.06,0.00,0.00,0.02
nihniaid.niaidrep1,ImmPort (nihniaid.niaidrep1),0.07,0.00,0.02,0.00,0.02
tib.esolib,ESO - European Organisation for Astronomical Research in the Southern Hemisphere (tib.esolib),0.06,0.05,0.06,0.10,0.02
tib.ubcl,"Technische Universität Clausthal, Universitätsbibliothek (tib.ubcl)",0.02,0.09,0.01,0.06,0.02
spbpu.elib,Electronic Library of Peter the Great Polytechnic University (spbpu.elib),0.02,0.00,0.06,0.00,0.02
gesis.psycharc,Psychology Archives (gesis.psycharc),0.08,0.00,0.00,0.00,0.02
wwpx.digz,DiGZ. Digitalen Zugang zu Wissen demokratisch gestalten e.V. (wwpx.digz),0.14,0.06,0.01,0.00,0.02
crui.uniurb,Università degli Studi di Urbino (crui.uniurb),0.05,0.07,0.05,0.08,0.02
delft.data4tu,4TU.ResearchData (delft.data4tu),0.04,0.03,0.02,0.02,0.02
sml.cip,International Potato Center (sml.cip),0.01,0.07,0.00,0.00,0.02
ccdc.csd,The Cambridge Structural Database (ccdc.csd),0.05,0.03,0.00,0.00,0.02
ethz.e-manus,e-manuscripta (ethz.e-manus),0.03,0.04,0.06,0.00,0.02
nu.arch,Arch (nu.arch),0.07,0.04,0.00,0.00,0.02
bl.bristol,University of Bristol (bl.bristol),0.02,0.06,0.02,0.00,0.02
ethz.da-rd,ETHZ Data Archive - Research Data (ethz.da-rd),0.03,0.02,0.06,0.00,0.02
rutgers.lib,Rutgers University Community Repository (RUcore) (rutgers.lib),0.04,0.03,0.01,0.00,0.02
bibsys.nsd,NSD – Norsk senter for forskningsdata (bibsys.nsd),0.04,0.04,0.00,0.00,0.02
tib.dbt,Thüringer Universitäts- und Landesbibliothek (tib.dbt),0.04,0.04,0.00,0.03,0.02
mtakik.andrassy,Andrássy Gyula Budapesti Német Nyelvű Egyetem (mtakik.andrassy),0.00,0.03,0.06,0.00,0.02
crui.unile,Università del Salento (crui.unile),0.06,0.01,0.00,0.00,0.02
aad.repo,Australian Antarctic Division (aad.repo),0.01,0.06,0.00,0.00,0.02
ethz.unigenf,Uni Genf (ethz.unigenf),0.02,0.03,0.06,0.01,0.02
mtakik.pe,Pannon Egyetem (mtakik.pe),0.00,0.00,0.06,0.00,0.02
ala.repo,Atlas of Living Australia (ala.repo),0.13,0.00,0.06,0.00,0.02
ethz.ecodices,e-codices (ethz.ecodices),0.00,0.00,0.06,0.00,0.02
ethz.gs,Graphische Sammlung (ethz.gs),0.00,0.00,0.06,0.00,0.02
ethz.seals,E-Periodica (ethz.seals),0.00,0.06,0.00,0.00,0.02
umich.mc,Materials Commons (umich.mc),0.00,0.06,0.00,0.00,0.02
gesis.srda,Survey Research Data Archive (gesis.srda),0.00,0.06,0.06,0.10,0.02
msu.libraries,Michigan State University Libraries (msu.libraries),0.00,0.06,0.00,0.00,0.02
cin.ucl,University of Cincinnati Libraries (cin.ucl),0.00,0.06,0.00,0.00,0.02
esdis.ornl,Oak Ridge National Laboratory Distributed Active Archive Center for Biogeochemical Dynamics (esdis.ornl),0.04,0.01,0.03,0.00,0.02
ethz.e-rara,e-rara.ch (ethz.e-rara),0.02,0.00,0.06,0.00,0.02
myesr.esr,European Society of Radiology (myesr.esr),0.01,0.05,0.01,0.00,0.02
sagebio.synapse,Synapse (sagebio.synapse),0.00,0.05,0.00,0.00,0.02
nihod.bioc,NCI BioConductor (nihod.bioc),0.00,0.05,0.00,0.00,0.02
inist.cirm,Centre International de Rencontres Mathématiques (inist.cirm),0.01,0.05,0.01,0.00,0.01
stsci.mast,Barbara A. Mikulski Archive for Space Telescopes (stsci.mast),0.06,0.05,0.00,0.00,0.01
crui.unica,Università degli Studi di Cagliari (crui.unica),0.05,0.05,0.06,0.05,0.01
vt.vttidata,VTTIDATA (vt.vttidata),0.02,0.06,0.05,0.00,0.01
