Repository Name,Repository_ID
British Library Research Repository,bl.repo
University of Hertfordshire Research Archive,bl.herts
University of Westminster,bl.westminster
Birkbeck Research Data,bl.birkbeck
Energy Data Centre,duqf.dztpij
CL Technical Reports,lpsw.zmftcd
King's College London,bl.kcl
De Montfort University,bl.dmu
"Royal Holloway, University of London",bl.rhul
Cardiff University,bl.cardiff
University of Bath,bl.bath
University of Birmingham - eData,bl.bham
Brunel University London,bl.brunel
Discovery,bl.dundee
WorkflowHub,borq.00002-2021
"UK Data Service, Jisc",bl.esds-i
Jisc Equipment Data Service,upnf.eq
Rothamsted Research,bl.rothres
Sir Alister Hardy Foundation for Ocean Science,bl.sahfos
UK LLC,vhfs.ukllc
Durham University Research Data Repository,bl.durham
London Southbank University,bl.lsbu
Cranfield Online Research Data,bl.cran
University of Essex,bl.essex
Endangered Archives Project,bl.eap
University of Aberdeen,bl.abdn
British Library Metadata Standards,bl.metadata
University of Lancashire,bl.uclan
"Royal Botanic Gardens, Kew",bl.rep-kew
SRUC research data repository,mfsz.vknmwy
UDORA,siyf.vjdxvd
OpenAIR@RGU,ukev.openair
Middlesex University,bl.mdx
Marine Scotland,bl.marinesc
University of Reading,bl.reading
University of Exeter,bl.exeter
University of Wales Trinity Saint David Research Repository,piri.dkahwp
St. George's University of London,bl.sgul
Queen's University Belfast Research Portal,bl.qub
Aston Data Explorer,bl.aston
Endangered Wooden Architecture Programme,tnae.rdzfew
Edinburgh Napier University,bl.napier
Cefas,bl.cefas
University of Birmingham - external,qumu.bhamx
Science Museum Group,ytfd.dkxwpw
Heriot-Watt University,bl.hwu
LSE Digital Library,lcqr.lsedl
White Rose Research Online,lxkc.wrro-lds
Janeway,sqhd.yqddvd
University of Manchester,bl.mchester
University of Portsmouth,bl.portsmth
UKAEA Open Data,mykg.vnpmwf
Bournemouth University,bl.bmouth
Queen Mary University of London,bl.qmul
World Conservation and Monitoring Centre (WCMC),bl.wcmc
Keele University,bl.keele
Manchester Metropolitan University,bl.mmu
BC Final Reports,ayje.ixxavf
Clinical Practice Research Datalink,wljs.nslvyb
Diamond OA Journals at Cambridge,lpsw.xedqsd
ONS-Metadata catalogue,ilpl.lxotmc
Reuters Institute for the Study of Journalism,ylyl.risj
University of South Wales Research Explorer,zwld.biajmw
Royal College of Music,bl.rcm
CERES,eqnn.ceres
Ulster University,bl.ulster
University of Northampton Research Explorer,isfl.northampton
